TYPE,HANDLER,PATTERN1,PATTERN2,PATTERN3,EXAMPLE1,EXAMPLE2,COMMENT
recurring,"{""type"": ""every_next_weekday"", ""weekday"": ""$1""}",$EV_$U-NEXT ($WEEKDAY)_$EEND,-,-,매 다음 월요일마다,-,
recurring,"{""type"": ""every_spec_day"", ""number"": ""$1""}",$U-MONTHS_$U-OF_($N)_$RS?_$EEND,-,-,매월의 5일날마다,-,
recurring,"{""type"": ""every_spec_day"", ""number"": ""$1""}",매월_($N)_일?_$RS?_$EEND,-,-,매월 1일,-,
,,,,,,,
recurring,"{""type"": ""every_spec_weekday_month"", ""number"": ""$2"", ""weekday"": ""$3"", ""month"": ""$1""}",($MONTH)__$U-OF_$EV_($N)_$RS?_($WEEKDAY)_$EEND,-,-,5월에 매 세번째 월요일마다,-,
,"{""type"": ""every_spec_weekday_month"", ""number"": ""$2"", ""weekday"": ""$1"", ""month"": ""$3""}",$EV_($WEEKDAY)_($N)_$RS?_$U-OF_($MONTH)_$EEND,-,-,매월 1 월요일,-,
recurring,"{""type"": ""every_reg_weekday"", ""weekday"": ""$1""}",$EV_($WEEKDAY) ($TIME)_$EEND,-,-,매 월요일마다 오후 12시,-,
,,,,,,,
recurring,"{""type"": ""every_reg_weekday"", ""weekday"": ""$1""}",$EV_($WEEKDAY)_$EEND,-,-,매 월요일마다,매 화요일마다,
recurring,"{""type"": ""every_reg_weekday"", ""weekday"": ""$1""}",($WEEKDAY)_마다,-,-,월요일마다,-,
recurring,"{""type"": ""every_spec_weekday_month"", ""number"": ""5"", ""weekday"": ""$1"", ""month"": ""$2""}",($MONTH)_$U-OF_$EV_$U-LAST_($WEEKDAY)_$EEND,-,-,5월에 매 마지막 월요일마다,-,
,,,,,,,
recurring,"{""type"": ""every_spec_weekday"", ""number"": ""5"", ""weekday"": ""$1""}",$EV_$U-LAST_($WEEKDAY)_$EEND,-,-,매 마지막 월요일마다,-,
,,,,,,,
recurring,"{""type"": ""every_last_day"", ""month"": ""$1""}",$EV_($MONTH)?_$U-OF_$U-LAST_$EEND,-,-,매 4월의 마지막,-,
recurring,"{""type"": ""every_spec_day"", ""number"": ""$1""}",$EV_($N)_$RS?_<마다>?,-,-,매 3일날마다,-,
recurring,"{""type"": ""every_spec_day"", ""number"": ""$1""}",($N)일날마다,-,-,1일날마다,-,
recurring,"{""type"": ""every_day"", ""number"": ""$1""}",$EV_($N)?_$U-DAYS_$EEND,-,-,매 3일마다,매일,
recurring,"{""type"": ""every_day"", ""number"": ""$1""}",($N)_$U-DAYS_$EEND,-,-,7일마다,-,
recurring,"{""type"": ""every_spec_weekday"", ""number"": ""$1"", ""weekday"": ""$2""}",$EV_($N)_$RS?주?_$EEND_($WEEKDAY)_$EEND,-,-,매 세번째 월요일마다,매월 1 월요일,
recurring,"{""type"": ""every_spec_weekday"", ""number"": ""1"", ""weekday"": ""$1""}",첫번째_($WEEKDAY)_마다,-,-,첫번째 목요일마다,-,
recurring,"{""type"": ""every_spec_weekday"", ""number"": ""$1"", ""weekday"": ""$2""}",($N)_$RS?_($WEEKDAY)_마다,-,-,세번째 월요일마다,-,
,,,,,,,
recurring,"{""type"": ""every_hour"", ""number"": ""$1""}",$EV?_($N)?_$U-HOURS_$EEND,-,-,매 3시간마다,3시간마다,
,,,,,,,
recurring,"{""type"": ""comma"", ""patterns"": ""$1"", ""time"": ""$2""}","([^,]+,.+)_($TIME)?",-,-,"월, 화",,
,,,,,,,
date,"{""type"": ""today""}",오늘,-,-,오늘,-,
date,"{""type"": ""tomorrow""}",내일,-,-,내일,-,
date,"{""type"": ""yesterday""}",어제,-,-,어제,-,
,,,,,,,
date,"{""type"": ""last_work_day"", ""month"": """"}",$U-LAST_$U-WORKDAYS,-,-,마지막 평일날,-,
date,"{""type"": ""last_work_day"", ""month"": ""$1""}",($MONTH)?_$U-OF_$U-LAST_$U-WORKDAYS,-,-,5월의 마지막 평일,-,
,,,,,,,
date,"{""type"": ""last_day"", ""month"": ""$1""}",($MONTH)?_$U-OF_$U-LAST_$U-DAYS,-,-,5월의 마지막날,-,
date,"{""type"": ""other_work_day""}",$U-OTHER $U-WORKDAYS,-,-,다음 평일,-,
date,"{""type"": ""work_day""}",$U-WORKDAYS,-,-,평일,-,
date,"{""type"": ""next_weekday"", ""weekday"": ""$1""}",$U-NEXT ($WEEKDAY),-,-,다음 월요일,다음 금요일,
,,,,,,,
recurring,"{""type"": ""every_week_day"", ""number"": ""1""}",$U-MONTHS?_$U-OF_$U-WORKDAYS_$EEND,-,-,매월의 평일,평일마다,
,,,,,,,
,"{""type"": ""spec_weekday_month"", ""number"": ""$2"", ""weekday"": ""$1"", ""month"": ""$3""}",($WEEKDAY)_($N)_$RS?_$U-OF_($MONTH),-,-,5월에 세번째 월요일,-,
date,"{""type"": ""spec_weekday_month"", ""number"": ""5"", ""weekday"": ""$2"", ""month"": ""$1""}",($MONTH)_$U-OF_$U-LAST_($WEEKDAY),-,-,5월에 마지막 월요일,-,
date,"{""type"": ""regular_weekday"", ""weekday"": ""$1""}",($WEEKDAY) <$TIME>,-,-,월요일 오후 3시,-,
date,"{""type"": ""regular_weekday"", ""weekday"": ""$1""}",<$TIME> ($WEEKDAY),-,-,오후3시 월요일,-,
date,"{""type"": ""spec_weekday"", ""number"": ""$1"", ""weekday"": ""$2""}",($N)_$RS? ($WEEKDAY),-,-,세번째 월요일,-,
date,"{""type"": ""spec_weekday"", ""number"": ""$2"", ""weekday"": ""$1""}",($WEEKDAY) ($N)_$RS?,-,-,월요일 세번째,-,
date,"{""type"": ""spec_weekday"", ""number"": ""5"", ""weekday"": ""$1""}",$U-LAST_($WEEKDAY),-,-,마지막 월요일,-,
,,,,,,,
date,"{""type"": ""last_day"", ""month"": ""$1""}",($MONTH)_$U-OF_$U-LAST,-,-,5월의 마지막,-,
,,,,,,,
date,"{""type"": ""date_x_forced"", ""year"": ""$1"", ""number1"": ""$2"", ""number2"": ""$3""}",($YEAR)년?$SEP($RN)월?$SEP($RN)_일?,-,-,"""2014년-5월-5일""","""2007-05-10""",
date,"{""type"": ""date"", ""year"": ""$1"", ""number"": ""$2"", ""month"": ""$3""}",($YEAR)_년?_($N)_일?_$RS? ($MONTH),-,-,2014년 3일 5월,-,
date,"{""type"": ""date"", ""year"": ""$1"", ""number"": ""$3"", ""month"": ""$2""}",($YEAR)_년?_($MONTH)_($N)_일?_$RS?,-,-,2014년5월3일,-,
date,"{""type"": ""date"", ""year"": ""$3"", ""number"": ""$1"", ""month"": ""$2""}",($N)_일?_$RS?_$U-OF_($MONTH)_$U-OF_($YEAR)_년?,-,-,3일 5월 2014년,-,
,,,,,,,
date,"{""type"": ""date"", ""year"": ""$3"", ""number"": ""$2"", ""month"": ""$1""}",($MONTH)_($N)_일?_$RS?_$U-OF_($YEAR)_년?,-,-,5월 3일 2014년,-,
,,,,,,,
date,"{""type"": ""date"", ""year"": """", ""number"": ""$2"", ""month"": ""$1""}",($MONTH)_($N)_일?_$RS?,-,-,5월 3일,-,
date,"{""type"": ""spec_weekday_month"", ""number"": ""$2"", ""weekday"": ""$3"", ""month"": ""$1""}",($MONTH)_$U-OF_($N)_$RS?_($WEEKDAY),-,-,5월에 세번째 월요일,-,
date,"{""type"": ""date"", ""year"": """", ""number"": ""$1"", ""month"": ""$2""}",($N)년_($MONTH),-,-,2016년 12월,-,
,,,,,,,
,,,,,,,
,"{""type"": ""date_x"", ""year"": ""$3"", ""number1"": ""$1"", ""number2"": ""$2""}",($RN)월?$SEP($RN)일?<$SEP($YEAR)?년?>?,-,-,"""2014년 5월 5일""",-,
date,"{""type"": ""date_month"", ""month"": ""$1""}",($MONTH),-,-,1월,-,
date,"{""type"": ""date_month"", ""month"": ""$1""}",($MONTH)_$U-OF,-,-,1월에,-,
date,"{""type"": ""date"", ""year"": """", ""number"": ""$1"", ""month"": ""$2""}",($N)_일?_$RS?_$U-OF_($MONTH),-,-,3일 5월,-,
,,,,,,,
,"{""type"": ""no_date""}",날짜 없음|마감일 없음,-,-,날짜 없음,마감일 없음,
date,"{""type"": ""plus"", ""number"": ""$1"", ""unit"": ""$2""}",\+?_($N)_($UNIT)_<동안|후?_$R-OF?>,-,-,2개월 후에,5일동안,
date,"{""type"": ""minus"", ""number"": ""$1"", ""unit"": ""$2""}",(\-$N)_($UNIT)?,-,-,-2일,-,
date,"{""type"": ""regular_weekday"", ""weekday"": ""$1""}",($WEEKDAY)날?,-,-,월요일,-,
date,"{""type"": ""spec_day"", ""number"": ""$1""}",($N)_$RS_<$U-MONTHS>?,-,-,세번째,1일날,
,,,,,,,
date,"{""type"": ""time""}",<$TIME>,-,-,"""오후 2시""",-,
