TYPE,HANDLER,PATTERN1,PATTERN2,PATTERN3,EXAMPLE1,EXAMPLE2,COMMENT
helper,$ENDING,<jusqu(..)|durant|pendant|fin>,,,jusqu'au,-,
helper,$BEFORE,avant,,,avant,-,
helper,$AFTER,<apr<è|e>s|de|<à|a> partir>,,,après,-,
,,,,,,,
helper,$U-YEARS,<ans?|chaque ann<e|é>e|tous les ans>,,,chaque annee,an,
helper,$U-MONTHS,<mois?s?|tous les mois|chaque mois>,,,chaque mois,mois,
helper,$U-WEEKS,<semaines?|toutes les semaines|chaque semaine>,,,chaque semaine,semaine,
helper,$U-DAYS,<jours?|tous les jours|chaque jour|matins?|soirs?>,,,chaque jour,jour,
helper,$U-HOURS,<heures?|toutes les heures|chaque heure>,,,chaque heure,heure,
helper,$U-NEXT,<prochain|suivant|autre>,,,prochain,-,
helper,$U-OTHER,<autre|prochain>,,,autre,-,
helper,$U-OF,<en|de|dans|du>?,,,de,en,
helper,$U-IN,<en|de|dans|du>?,,,de,en,
helper,$U-FOR,<pendant|durant>,-,,pendant,durant,chaque jour <pendant> 6 mois
helper,$R-OF,<de|dans>,,,dans,de,
helper,$U-LAST,<derni(..)|derni<è|e>re|fin>,,,dernier,-,
helper,$U-WORKDAYS,jours?_<<de>?_<la>?_semaine|ouvr(..)|ou>,,,jour ouvre,jour de la semaine,
,,,,,,,
composite,"{""type"": ""start_end"", ""date"": ""$1"", ""start_date"": ""$2"", ""end_date"": ""$3""}",(.+)$AND? $START (.+)_$AND?_$U-IN_$ENDING (.+),-,-,chaque jour à partir de demain pendant 6 mois,-,
,,,,,,,
composite,"{""type"": ""ending"", ""date"": ""$1"", ""end_date"": ""$2""}",(.+)_$AND?_$ENDING _$U-IN_(.+),-,-,chaque jour jusqu'à dans 6 mois,-,
composite,"{""type"": ""ending"", ""date"": ""$1"", ""end_date"": ""$2""}",(.+)_$AND?_$U-FOR_(.+),-,-,chaque jour pendant 6 mois,-,
composite,"{""type"": ""before_after"", ""number"": ""$1"", ""unit"": ""$2"", ""mod"": ""before"", ""rel_date"": ""$3""}",$U-OF_\+?($N)_($UNIT)_$BEFORE_(.+)?,-,-,en 3 jours avant le 3 mars,-,
composite,"{""type"": ""before_after"", ""number"": ""$1"", ""unit"": ""$2"", ""mod"": ""after"", ""rel_date"": ""$3""}",$U-OF_\+?($N)_($UNIT)_$AFTER_(.+)?,-,-,dans cinq jours après 2e avril,-,
composite,"{""type"": ""starting"", ""date"": ""$1"", ""start_date"": ""$2""}",($EV $WEEKDAY)_$U-OF_($MONTH),-,-,chaque lundi en mai,-,
,,,,,,,
recurring,"{""type"": ""every_last_day"", ""month"": ""$1""}",$EV $U-LAST_$U-DAYS_$U-OF_($MONTH)?_$U-MONTHS?,-,-,chaque dernier jour avril,chaque dernier jour du mois,
composite,"{""type"": ""starting"", ""date"": ""$1"", ""start_date"": ""$2""}",(.+)_$AND?_$START _$U-IN_(.+),-,-,chaque jour à partir de demain,-,
recurring,"{""type"": ""every_comma"", ""patterns"": ""$1"", ""time"": ""$2""}","$EV ([^,]+,.+)_($TIME)?",-,-,"chaque 5,6 à 15h","chaque lun, mar",
recurring,"{""type"": ""every_year"", ""number"": ""$1""}",$EV ($N)?_$U-YEARS,-,-,tous les 3 ans,-,
recurring,"{""type"": ""every_year"", ""number"": ""$1""}",($N)?_$U-YEARS,-,-,chaque annee,2 ans,
,,,,,,,
recurring,"{""type"": ""every_month"", ""number"": ""$1""}",$EV ($N)?_$RS?_$U-MONTHS,-,-,tous les 2 mois,-,
recurring,"{""type"": ""every_month"", ""number"": ""2""}",$EV $U-OTHER $U-MONTHS,-,-,chaque prochain mois,,
recurring,"{""type"": ""every_month"", ""number"": ""2""}",$EV $U-MONTHS $U-OTHER,-,-,chaque mois prochain,-,
,,,,,,,
recurring,"{""type"": ""every_spec_month"", ""number"": ""$1"", ""month"": ""$2""}",$EV ($N)_$RS? ($MONTH),-,-,chaque 2 avril,-,
recurring,"{""type"": ""every_spec_month"", ""number"": ""$2"", ""month"": ""$1""}",$EV ($MONTH)_($N)_$RS?,-,-,tous avril 3,-,
,,,,,,,
,,,,,,,
recurring,"{""type"": ""every_last_day"", ""month"": ""$1""}",$U-LAST_$U-DAYS_$U-OF_$EV_($MONTH)?_$U-MONTHS?,-,-,dernier jour de chaque avril,-,
,"{""type"": ""every_last_day"", ""month"": ""$1""}",<$EV>?_$U-LAST_$U-OF_$EV_($MONTH)?_$U-MONTHS?,-,-,dernière de chaque avril,-,
,,,,,,,
recurring,"{""type"": ""every_last_work_day"", ""month"": ""$1""}",$EV $U-LAST_$U-WORKDAYS_$U-OF_($MONTH)?_$U-MONTHS?,-,,tous derniers jours ouvres de mai,chaque dernier jour ouvrable,
recurring,"{""type"": ""every_spec_work_day"", ""number"": ""$1""}",$EV ($N)_$RS_$U-WORKDAYS,-,-,chaque 3e jour ouvre,-,
recurring,"{""type"": ""every_week_day"", ""number"": ""$1""}",$EV ($N)?_$RS?_$U-WORKDAYS,-,-,chaque 3 jour ouvre,chaque jour ouvre,
recurring,"{""type"": ""every_week_day"", ""number"": ""1""}",$U-WORKDAYS_$U-OF_$EV $U-MONTHS,-,-,jours ouvres chaque mois,-,
recurring,"{""type"": ""every_last_work_day"", ""month"": ""$1""}",$U-LAST_$U-WORKDAYS_$U-OF_$EV ($MONTH)?_$U-MONTHS?,-,-,-,-,
,,,,,,,
recurring,"{""type"": ""every_week"", ""number"": ""$1""}",$EV ($N)?_$RS?_$U-WEEKS,-,-,chaque 3e semaine,chaque semaine,
,,,,,,,
recurring,"{""type"": ""every_day_month"", ""number1"": ""$1"", ""number2"": ""$2""}",$EV ($N)$SEP($N),-,-,tous les 5/5,-,
,,,,,,,
recurring,"{""type"": ""every_other_week_day""}",$EV $U-OTHER $U-WORKDAYS,-,-,tous autre jours ouvres,-,
recurring,"{""type"": ""every_other_day""}",$EV $U-OTHER_$U-DAYS,-,-,tous autre jours,-,
,,,,,,,
recurring,"{""type"": ""every_next_weekday"", ""weekday"": ""$1""}",$EV ($WEEKDAY) $U-NEXT,-,-,chaque lundi suivant,-,
recurring,"{""type"": ""every_spec_day"", ""number"": ""$1""}",($N)_$RS?_<jour>?_$U-OF $EV $U-MONTHS,-,-,5e jour de chaque moi,-,
,,,,,,,
recurring,"{""type"": ""every_spec_weekday_month"", ""number"": ""$1"", ""weekday"": ""$2"", ""month"": ""$3""}",$EV ($N)_$RS?_($WEEKDAY)_$U-OF_($MONTH),-,-,chaque 3e lundi de mai,-,
recurring,"{""type"": ""every_spec_weekday_month"", ""number"": ""$2"", ""weekday"": ""$1"", ""month"": ""$3""}",$EV ($WEEKDAY)_($N)_$RS?_$U-OF_($MONTH),-,-,chaque lundi 3 de mai,-,
recurring,"{""type"": ""every_reg_weekday"", ""weekday"": ""$1""}",$EV ($WEEKDAY) ($TIME),-,-,tous les lun à 12h,-,
recurring,"{""type"": ""every_spec_weekday"", ""number"": ""$2"", ""weekday"": ""$1""}",$EV ($WEEKDAY)_($N)_$RS?,-,-,tous les lundi 3,-,
recurring,"{""type"": ""every_reg_weekday"", ""weekday"": ""$1""}",$EV ($WEEKDAY),-,-,chaque lun,chaque mardi,
recurring,"{""type"": ""every_spec_weekday_month"", ""number"": ""5"", ""weekday"": ""$1"", ""month"": ""$2""}",$EV $U-LAST_($WEEKDAY)_$U-OF_($MONTH),-,-,chaque dernier lundi de mai,-,
recurring,"{""type"": ""every_spec_weekday"", ""number"": ""$1"", ""weekday"": ""$2""}",$EV ($N)_$RS?_($WEEKDAY),-,-,tous les 3e lundi,-,
recurring,"{""type"": ""every_spec_weekday"", ""number"": ""5"", ""weekday"": ""$1""}",$EV $U-LAST_($WEEKDAY),-,-,tous derniers lundis,-,
,,,,,,,
recurring,"{""type"": ""every_hour"", ""number"": ""$1""}",$EV ($N)?_$U-HOURS,-,-,toutes les 3 heures,-,
,,,,,,,
recurring,"{""type"": ""every_day"", ""number"": ""$1""}",$EV ($N)?_$U-DAYS,-,-,tous les 3 jours,-,
recurring,"{""type"": ""every_spec_day"", ""number"": ""$1""}",$EV ($N)_$RS?_<$UNIT>?,-,-,tous les 3e,-,
,,,,,,,
,,,,,,,
,,,,,,,
recurring,"{""type"": ""comma"", ""patterns"": ""$1"", ""time"": ""$2""}","([^,]+,.+)_($TIME)?",-,-,"lun, mar",,
,,,,,,,
date,"{""type"": ""today""}",aujourd'?hui|matins?,auj,-,aujourd'hui,-,
date,"{""type"": ""tomorrow""}",demain,dem,-,demain,-,
date,"{""type"": ""yesterday""}",hier,-,-,hier,-,
date,"{""type"": ""next_week""}",prochaine semaine,semaine prochaine,-,semaine prochaine,-,
,,,,,,,
date,"{""type"": ""last_day"", ""month"": ""$1""}",$U-LAST $U-OF_($MONTH),-,-,dernier de mai,-,
date,"{""type"": ""last_day"", ""month"": ""$1""}",$U-LAST $U-DAYS_$U-OF_($MONTH)?,-,-,dernier jour de mai,-,
recurring,"{""type"": ""spec_work_day"", ""number"": ""$1""}",($N)_$RS_$U-WORKDAYS,-,-,3e jour ouvre,-,
date,"{""type"": ""last_work_day"", ""month"": ""$1""}",$U-LAST $U-WORKDAYS_$U-OF_($MONTH)?,-,-,dernier jour ouvre de mai,-,
date,"{""type"": ""other_work_day""}",$U-OTHER $U-WORKDAYS,-,-,prochain jour ouvre,-,
date,"{""type"": ""work_day""}",$U-WORKDAYS,-,-,jour ou,-,
date,"{""type"": ""next_weekday"", ""weekday"": ""$1""}",($WEEKDAY) $U-NEXT,-,-,lundi prochain,-,
,,,,,,,
date,"{""type"": ""spec_weekday_month"", ""number"": ""$1"", ""weekday"": ""$2"", ""month"": ""$3""}",($N)_$RS?_($WEEKDAY)_$U-OF_($MONTH),-,-,3e lundi de mai,-,
date,"{""type"": ""spec_weekday_month"", ""number"": ""$2"", ""weekday"": ""$1"", ""month"": ""$3""}",($WEEKDAY)_($N)_$RS?_$U-OF_($MONTH),-,-,lundi 3 de mai,-,
date,"{""type"": ""spec_weekday_month"", ""number"": ""5"", ""weekday"": ""$1"", ""month"": ""$2""}",$U-LAST_($WEEKDAY)_$U-OF_($MONTH),-,-,dernier lundi de mai,-,
date,"{""type"": ""regular_weekday"", ""weekday"": ""$1""}",($WEEKDAY) <$TIME>,-,-,lundi 15h,-,
date,"{""type"": ""regular_weekday"", ""weekday"": ""$1""}",<$TIME> ($WEEKDAY),-,-,15h lundi,-,
date,"{""type"": ""spec_weekday"", ""number"": ""$1"", ""weekday"": ""$2""}",($N)_$RS? ($WEEKDAY),-,-,3 lundi,-,
date,"{""type"": ""spec_weekday"", ""number"": ""$2"", ""weekday"": ""$1""}",($WEEKDAY) ($N)_$RS?,-,-,lundi 3,-,
date,"{""type"": ""spec_weekday"", ""number"": ""5"", ""weekday"": ""$1""}",$U-LAST_($WEEKDAY),-,-,dernier lundi,-,
,,,,,,,
date,"{""type"": ""date_x_forced"", ""year"": ""$1"", ""number1"": ""$2"", ""number2"": ""$3""}",($YEAR)$SEP($RN)$SEP($RN),-,-,2014/5/5,-,
date,"{""type"": ""date"", ""year"": ""$1"", ""number"": ""$2"", ""month"": ""$3""}",($YEAR)_($N)_$RS? ($MONTH),-,-,2014 3 mai,-,
date,"{""type"": ""date"", ""year"": ""$1"", ""number"": ""$3"", ""month"": ""$2""}",($YEAR)_($MONTH)_($N)_$RS?,-,-,2014 mai 3,-,
date,"{""type"": ""date"", ""year"": ""$3"", ""number"": ""$1"", ""month"": ""$2""}",($N)_$RS?_$U-OF_($MONTH)_$U-OF_($YEAR),-,-,3 mai 2014,-,
date,"{""type"": ""date"", ""year"": """", ""number"": ""$1"", ""month"": ""$2""}",($N)_$RS?_$U-OF_($MONTH),-,-,3 mai,-,
date,"{""type"": ""date"", ""year"": ""$3"", ""number"": ""$2"", ""month"": ""$1""}",($MONTH)_($N)_$RS?_$U-OF_($YEAR),-,-,fév 14e 2004,-,
date,"{""type"": ""date"", ""year"": """", ""number"": ""$2"", ""month"": ""$1""}",($MONTH)_($N)_$RS?,-,-,mai 3,-,
,,,,,,,
date,"{""type"": ""date_x"", ""year"": ""$3"", ""number1"": ""$1"", ""number2"": ""$2""}",($RN)$SEP($RN)<$SEP($YEAR)>,-,-,5/5/2014,-,
date,"{""type"": ""date_x"", ""year"": ""$3"", ""number1"": ""$1"", ""number2"": ""$2""}",($RN)[-/]($RN)<[-/]($YEAR)?>?,-,-,5/5,-,
date,"{""type"": ""date_month"", ""month"": ""$1""}",($SMONTH),-,-,janvier,-,
date,"{""type"": ""date_month"", ""month"": ""$1""}",$U-OF ($MONTH),-,-,en janvier,-,
,,,,,,,
,"{""type"": ""no_date""}",aucune date|aucune <e|é>ch<e|é>ance,-,-,aucune date,aucune echeance,
date,"{""type"": ""plus"", ""number"": ""$1"", ""unit"": ""$2""}",$R-OF_($RN)_($UNIT),-,-,dans 2 mois,-,
date,"{""type"": ""minus"", ""number"": ""$1"", ""unit"": ""$2""}",(\-$N)_($UNIT)?,-,-,-2 jours,-,
date,"{""type"": ""regular_weekday"", ""weekday"": ""$1""}",($WEEKDAY)$,-,-,lundi,-,
date,"{""type"": ""spec_day"", ""number"": ""$1""}",(\d\d?)_$RS_<$U-MONTHS>?_<$UNIT>?,-,-,3e,-,
date,"{""type"": ""plus"", ""number"": ""$1"", ""unit"": ""$2""}",\+_($RN)_($UNIT)?,-,-,"""+2 mois""",-,
,,,,,,,
date,"{""type"": ""time""}",<$TIME>$,-,-,14h,-,
