TYPE,HANDLER,PATTERN1,PATTERN2,PATTERN3,EXAMPLE1,EXAMPLE2,COMMENT
helper,$U-DAYS,<days?|daily>,,,daily,day,
helper,$U-HOURS,<hours?|hourly>,,,hourly,hour,
helper,$U-NEXT,<next|following|other>,,,next,-,
helper,$U-OTHER,other,,,other,-,
helper,$U-OF,<of|in>?,,,of,in,
helper,$U-IN,<of|in>?,,,of,in,
helper,$U-FOR,<for\s>,-,,for ,-,every day <for> 6 months
helper,$R-OF,<of|in>,,,in,of,
helper,$U-LAST,<last|end>,,,last,-,
helper,$U-WORKDAYS,work_days?,,,workday,work day,
,,,,,,,
composite,"{""type"": ""start_end"", ""date"": ""$1"", ""start_date"": ""$2"", ""end_date"": ""$3""}",(.+)$AND? $START (.+)_$AND?_$ENDING (.+),-,-,every day starting tomorrow and ending in 6 months,every day starting on monday and ending in 6 months,
composite,"{""type"": ""start_end"", ""date"": ""$1"", ""start_date"": ""$3"", ""end_date"": ""$2""}",(.+)$AND? $ENDING_$U-IN_(.+)_$AND?_$START (.+),-,-,every day ending in 6 months and starting tomorrow,-,
composite,"{""type"": ""starting"", ""date"": ""$1"", ""start_date"": ""$2""}",(.+)_$AND?_$START (.+),-,-,every day start tomorrow,-,
composite,"{""type"": ""ending"", ""date"": ""$1"", ""end_date"": ""$2""}",(.+) $AND?_$ENDING (.+),-,-,every day end in 6 months,-,
composite,"{""type"": ""ending"", ""date"": ""$1"", ""end_date"": ""$2""}",(.+)_$AND?_$U-FOR_(.+),-,-,every day for 6 months,-,
composite,"{""type"": ""before_after"", ""number"": ""$1"", ""unit"": ""$2"", ""mod"": ""before"", ""rel_date"": ""$3""}",<\+|$U-OF>_($N)_($UNIT)_$BEFORE_(.+)?,-,-,in 3 days before march 3rd,-,
composite,"{""type"": ""before_after"", ""number"": ""$1"", ""unit"": ""$2"", ""mod"": ""after"", ""rel_date"": ""$3""}",<\+|$U-OF>_($N)_($UNIT)_$AFTER_(.+)?,-,-,in 5 days after april 2nd,-,
composite,"{""type"": ""starting"", ""date"": ""$1"", ""start_date"": ""$2""}",($EV $WEEKDAY)_$U-OF_($MONTH),-,-,every monday in may,-,
,,,,,,,
recurring,"{""type"": ""every_comma"", ""patterns"": ""$1"", ""time"": ""$2""}","$EV ([^,]+,.+)_($TIME)?",-,-,"every 5,6 at 3pm","every mon,tue",
recurring,"{""type"": ""every_year"", ""number"": ""$1""}",$EV ($N)?_$U-YEARS,-,-,every 3 years,-,
recurring,"{""type"": ""every_year"", ""number"": ""$1""}",($N)_$U-YEARS,-,-,2 years,-,
recurring,"{""type"": ""every_year"", ""number"": """"}",yearly,-,-,yearly,-,
,,,,,,,
recurring,"{""type"": ""every_month"", ""number"": ""$1""}",$EV ($N)?_$RS?_$U-MONTHS,-,-,every 2 months,-,
recurring,"{""type"": ""every_month"", ""number"": ""2""}",$EV $U-OTHER $U-MONTHS,-,-,every other month,-,
,,,,,,,
recurring,"{""type"": ""every_spec_month"", ""number"": ""$1"", ""month"": ""$2""}",$EV ($N)_$RS? ($MONTH),-,-,every 2nd april,-,
recurring,"{""type"": ""every_spec_month"", ""number"": ""$2"", ""month"": ""$1""}",$EV ($MONTH)_($N)_$RS?,-,-,every april 3rd,-,
,,,,,,,
recurring,"{""type"": ""every_last_day"", ""month"": ""$1""}",$EV $U-LAST_$U-DAYS_$U-OF_($MONTH)?_$U-MONTHS?,-,-,every last day of april,every last day of month,
recurring,"{""type"": ""every_last_day"", ""month"": ""$1""}",$U-LAST_$U-DAYS_$U-OF_$EV_($MONTH)?_$U-MONTHS?,-,-,last day of every april,-,
recurring,"{""type"": ""every_last_day"", ""month"": ""$1""}",<$EV>?_$U-LAST_$U-OF_$EV_($MONTH)?_$U-MONTHS?,-,-,last of every april,-,
,,,,,,,
recurring,"{""type"": ""every_last_work_day"", ""month"": ""$1""}",$EV $U-LAST_$U-WORKDAYS_$U-OF_($MONTH)?_$U-MONTHS?,-,-,every last work days of may,every last work days may,
recurring,"{""type"": ""every_spec_work_day"", ""number"": ""$1""}",$EV ($N)_$RS_$U-WORKDAYS,-,-,every 3rd workday,-,
recurring,"{""type"": ""every_week_day"", ""number"": ""$1""}",$EV ($N)?_$RS?_$U-WORKDAYS,-,-,every 3 workdays,every workday,
recurring,"{""type"": ""every_week_day"", ""number"": ""1""}",$U-WORKDAYS_$U-OF_$EV $U-MONTHS,-,-,workdays of every month,-,
recurring,"{""type"": ""every_last_work_day"", ""month"": ""$1""}",$U-LAST_$U-WORKDAYS_$U-OF_$EV ($MONTH)?_$U-MONTHS?,-,-,last work days of every may,-,
,,,,,,,
recurring,"{""type"": ""every_week"", ""number"": ""$1""}",$EV ($N)?_$RS?_$U-WEEKS,-,-,every 3rd week,every week,
,,,,,,,
recurring,"{""type"": ""every_day_month"", ""number1"": ""$1"", ""number2"": ""$2""}",$EV ($N)$SEP($N),-,-,every 15/3,-,
,,,,,,,
recurring,"{""type"": ""every_other_week_day""}",$EV $U-OTHER $U-WORKDAYS,-,-,every other workday,-,
recurring,"{""type"": ""every_other_day""}",$EV $U-OTHER_$U-DAYS,-,-,every other day,-,
,,,,,,,
recurring,"{""type"": ""every_next_weekday"", ""weekday"": ""$1""}",$EV $U-NEXT ($WEEKDAY),-,-,every next monday,-,
recurring,"{""type"": ""every_spec_day"", ""number"": ""$1""}",($N)_$RS?_$U-OF $EV $U-MONTHS,-,-,5th of every month,-,
,,,,,,,
recurring,"{""type"": ""every_spec_weekday_month"", ""number"": ""$1"", ""weekday"": ""$2"", ""month"": ""$3""}",$EV ($N)_$RS?_($WEEKDAY)_$U-OF_($MONTH),-,-,every 3rd monday in may,-,
recurring,"{""type"": ""every_spec_weekday_month"", ""number"": ""$2"", ""weekday"": ""$1"", ""month"": ""$3""}",$EV ($WEEKDAY)_($N)_$RS?_$U-OF_($MONTH),-,-,every monday 3rd in may,-,
recurring,"{""type"": ""every_reg_weekday"", ""weekday"": ""$1""}",$EV ($WEEKDAY) ($TIME),-,-,every mon 12pm,-,
recurring,"{""type"": ""every_spec_weekday"", ""number"": ""$2"", ""weekday"": ""$1""}",$EV ($WEEKDAY)_($N)_$RS?,-,-,every monday 3rd,-,
recurring,"{""type"": ""every_reg_weekday"", ""weekday"": ""$1""}",$EV ($WEEKDAY),-,-,every mon,every tuesday,
recurring,"{""type"": ""every_spec_weekday_month"", ""number"": ""5"", ""weekday"": ""$1"", ""month"": ""$2""}",$EV $U-LAST_($WEEKDAY)_$U-OF_($MONTH),-,-,every last monday in may,-,
recurring,"{""type"": ""every_spec_weekday"", ""number"": ""$1"", ""weekday"": ""$2""}",$EV ($N)_$RS?_($WEEKDAY)_$U-OF_$U-MONTHS?,-,-,every 3rd monday,-,
recurring,"{""type"": ""every_spec_weekday"", ""number"": ""5"", ""weekday"": ""$1""}",$EV $U-LAST_($WEEKDAY),-,-,every last monday,-,
,,,,,,,
recurring,"{""type"": ""every_hour"", ""number"": ""$1""}",$EV ($N)? $U-HOURS,-,-,every 3 hours,-,
,,,,,,,
recurring,"{""type"": ""every_day"", ""number"": ""$1""}",$EV ($N)?_$U-DAYS,-,-,every 3 days,-,
recurring,"{""type"": ""every_spec_day"", ""number"": ""$1""}",$EV ($N)_$RS?_<$UNIT>?,-,-,every 3rd,-,
,,,,,,,
recurring,"{""type"": ""comma"", ""patterns"": ""$1"", ""time"": ""$2""}","([^,]+,.+)_($TIME)?",-,-,"mon,tue",,
recurring,"{""type"": ""every_day"", ""number"": """"}",$EV <$TIME>,-,-,every 22pm,,
,,,,,,,
date,"{""type"": ""today""}",today,tod,-,today,-,
date,"{""type"": ""tomorrow""}",tomorrow,tom,-,tomorrow,-,
date,"{""type"": ""yesterday""}",yesterday,-,-,yesterday,-,
date,"{""type"": ""next_week""}",next_week,-,-,next week,-,
,,,,,,,
date,"{""type"": ""last_day"", ""month"": ""$1""}",$U-LAST $U-OF_($MONTH),-,-,last of may,-,
date,"{""type"": ""last_day"", ""month"": ""$1""}",$U-LAST $U-DAYS_$U-OF_($MONTH)?,-,-,last day of may,-,
date,"{""type"": ""last_work_day"", ""month"": ""$1""}",$U-LAST $U-WORKDAYS_$U-OF_($MONTH)?,-,-,last workday of may,-,
date,"{""type"": ""other_work_day""}",$U-OTHER $U-WORKDAYS,-,-,other work day,-,
date,"{""type"": ""work_day""}",$U-WORKDAYS,-,-,work day,-,
date,"{""type"": ""spec_work_day"", ""number"": ""$1""}",($N)_$RS $U-WORKDAYS,-,-,3rd workday,-,
date,"{""type"": ""next_weekday"", ""weekday"": ""$1""}",$U-NEXT ($WEEKDAY),-,-,next monday,-,
,,,,,,,
date,"{""type"": ""spec_weekday_month"", ""number"": ""$1"", ""weekday"": ""$2"", ""month"": ""$3""}",($N)_$RS?_($WEEKDAY)_$U-OF_($MONTH),-,-,3rd monday in may,-,
date,"{""type"": ""spec_weekday_month"", ""number"": ""$2"", ""weekday"": ""$1"", ""month"": ""$3""}",($WEEKDAY)_($N)_$RS?_$U-OF_($MONTH),-,-,monday 3rd in may,-,
date,"{""type"": ""spec_weekday_month"", ""number"": ""5"", ""weekday"": ""$1"", ""month"": ""$2""}",$U-LAST_($WEEKDAY)_$U-OF_($MONTH),-,-,last monday in may,-,
date,"{""type"": ""regular_weekday"", ""weekday"": ""$1""}",($WEEKDAY) <$TIME>,-,-,monday 3pm,-,
date,"{""type"": ""regular_weekday"", ""weekday"": ""$1""}",<$TIME> ($WEEKDAY),-,-,3pm monday,-,
date,"{""type"": ""spec_weekday"", ""number"": ""$1"", ""weekday"": ""$2""}",($N)_$RS? ($WEEKDAY),-,-,3rd monday,-,
date,"{""type"": ""spec_weekday"", ""number"": ""$2"", ""weekday"": ""$1""}",($WEEKDAY) ($N)_$RS?,-,-,monday 3rd,-,
date,"{""type"": ""spec_weekday"", ""number"": ""5"", ""weekday"": ""$1""}",$U-LAST_($WEEKDAY),-,-,last monday,-,
,,,,,,,
date,"{""type"": ""date_x_forced"", ""year"": ""$1"", ""number1"": ""$2"", ""number2"": ""$3""}",($YEAR)$SEP($RN)$SEP($RN),-,-,"""2014/5/5""",-,
date,"{""type"": ""date"", ""year"": ""$1"", ""number"": ""$2"", ""month"": ""$3""}",($YEAR)_($N)_$RS? ($MONTH),-,-,2014 3rd may,-,
date,"{""type"": ""date"", ""year"": ""$1"", ""number"": ""$3"", ""month"": ""$2""}",($YEAR)_($MONTH)_($N)_$RS?,-,-,2014 may 3rd,-,
date,"{""type"": ""date"", ""year"": ""$3"", ""number"": ""$1"", ""month"": ""$2""}",($N)_$RS?_$U-OF_($MONTH)_$U-OF_($YEAR),-,-,3rd may 2014,-,
date,"{""type"": ""date"", ""year"": """", ""number"": ""$1"", ""month"": ""$2""}",($N)_$RS?_$U-OF_($MONTH),-,-,3rd may,-,
date,"{""type"": ""date"", ""year"": ""$3"", ""number"": ""$2"", ""month"": ""$1""}",($MONTH)_($N)_$RS?_$U-OF_($YEAR),-,-,may 3rd 2014,-,
date,"{""type"": ""date"", ""year"": """", ""number"": ""$2"", ""month"": ""$1""}",($MONTH)_($N)_$RS?,-,-,may 3rd,-,
,,,,,,,
date,"{""type"": ""date_x"", ""year"": ""$3"", ""number1"": ""$1"", ""number2"": ""$2""}",($RN)$SSEP($RN)<$SEP($YEAR)?>?,-,-,"""5/5""",-,
date,"{""type"": ""date_x"", ""year"": ""$3"", ""number1"": ""$1"", ""number2"": ""$2""}",($RN)$SEP($RN)<$SEP($YEAR)>,-,-,"""5/5/2014""",-,
date,"{""type"": ""date_month"", ""month"": ""$1""}",($SMONTH),-,-,january,-,
date,"{""type"": ""date_month"", ""month"": ""$1""}",$U-OF ($MONTH),-,-,in january,-,
,,,,,,,
date,"{""type"": ""plus"", ""number"": ""$1"", ""unit"": ""$2""}",\+_(\d+)_($UNIT),-,-,"""+2 months""",-,
date,"{""type"": ""plus"", ""number"": ""$1"", ""unit"": ""$2""}",<$R-OF >_($N)_($UNIT),-,-,in 2 months,-,
date,"{""type"": ""minus"", ""number"": ""$1"", ""unit"": ""$2""}",(\-$N)_($UNIT),-,-,-2 days,-,
date,"{""type"": ""regular_weekday"", ""weekday"": ""$1""}",($WEEKDAY),-,-,monday,-,
date,"{""type"": ""spec_day"", ""number"": ""$1""}",($N)_$RS_<$U-MONTHS>?_<$UNIT>?,-,-,3rd,-,
date,"{""type"": ""plus"", ""number"": ""$1"", ""unit"": ""$2""}",\+_(\d+)_($UNIT),-,-,"""+2 months""",-,
date,"{""type"": ""plus"", ""number"": ""$1"", ""unit"": ""$2""}",in_(\d+)_($UNIT),-,-,"""in 200 days""",-,
,,,,,,,
,,,,,,,
date,"{""type"": ""time""}",<$TIME>$,-,-,"""2pm""",-,
