TYPE,HANDLER,PATTERN1,PATTERN2,PATTERN3,EXAMPLE1,EXAMPLE2,COMMENT
helper,$U-NEXT,隔,,,隔,-,
helper,$U-OTHER,隔,,,隔,-,
helper,$U-OF,の?,,,の,,
helper,$U-IN,<後|間後>?,,,後,in,
helper,$U-FOR,間,-,,間,,
helper,$R-OF,以内,,,,,
helper,$U-LAST,<月末|最終|最後の|最終日|末|末日|終わり>,,,最終,-,
helper,$U-WORKDAYS,<平日|就業日|営業日|就業日>,,,平日,就業日,
,,,,,,,
composite,"{""type"": ""start_end"", ""date"": ""$3"", ""start_date"": ""$1"", ""end_date"": ""$2""}",(.+)$START(.+)$U-IN$ENDING(.+),-,-,10月20日から10月30日まで毎日,明日から6ヵ月間後まで毎日,
,,,,,,,
composite,"{""type"": ""starting"", ""date"": ""$2"", ""start_date"": ""$1""}",(.+)$START(.+),-,-,明日から毎日,-,
composite,"{""type"": ""ending"", ""date"": ""$2"", ""end_date"": ""$1""}",(.+)$ENDING(.+),-,-,6ヵ月後まで毎日,-,
,,,,,,,
composite,"{""type"": ""before_after"", ""number"": ""$2"", ""unit"": ""$3"", ""mod"": ""before"", ""rel_date"": ""$1""}",(.+)$U-OF($N)($UNIT)$BEFORE,-,-,3月3日の3日前,-,
composite,"{""type"": ""before_after"", ""number"": ""$2"", ""unit"": ""$3"", ""mod"": ""after"", ""rel_date"": ""$1""}",(.+)$U-OF($N)($UNIT)$AFTER,-,-,4月2日の5日後,-,
,,,,,,,
recurring,"{""type"": ""every_comma"", ""patterns"": ""$1"", ""time"": ""$2""}","$EV ([^,]+,.+)_($TIME)?",-,-,-,-,
recurring,"{""type"": ""every_year"", ""number"": ""$1""}",($N)?$U-YEARS,-,-,3年毎,毎年,
,,,,,,,
,,,,,,,
recurring,"{""type"": ""every_month"", ""number"": ""$1""}",($N)?$U-MONTHS,-,-,毎月,2月毎,
recurring,"{""type"": ""every_month"", ""number"": ""2""}",隔月,-,-,隔月,-,
,,,,,,,
recurring,"{""type"": ""every_spec_month"", ""number"": ""$1"", ""month"": ""$2""}",$EV ($N)_$RS? ($MONTH),-,-,毎年2日4月,-,
recurring,"{""type"": ""every_spec_month"", ""number"": ""$2"", ""month"": ""$1""}",$EV ($MONTH)_($N)_$RS?,-,-,毎年4月3日,-,
,,,,,,,
recurring,"{""type"": ""every_last_day"", ""month"": ""$1""}",$U-YEARS($MONTH)$U-OF$U-LAST,-,-,毎年4月の月末,毎年4月の最終日,
,"{""type"": ""every_last_day"", ""month"": ""$1""}",$U-LAST_$U-DAYS_$U-OF_$EV_($MONTH)?,-,-,毎年4月末,,
recurring,"{""type"": ""every_last_day"", ""month"": ""$1""}",$EV_の?<月末|末日>_($MONTH)?,-,-,毎月の月末,毎月末日,
,,,,,,,
recurring,"{""type"": ""every_other_week_day""}",隔就業日|2平日ごと,-,-,隔就業日,-,
,,,,,,,
recurring,"{""type"": ""every_last_work_day"", ""month"": ""$1""}",$U-YEARS($MONTH)$U-OF?$U-LAST$U-WORKDAYS,-,-,毎年5月の最終就業日,毎年5月の最終営業日,
recurring,"{""type"": ""every_week_day"", ""number"": ""$1""}",($N?)$U-WORKDAYS$EV ,-,-,3就業日ごと,就業日毎,
recurring,"{""type"": ""every_week_day"", ""number"": ""$1""}",$EV($N?)$U-WORKDAYS,-,-,毎週就業日,-,
,"{""type"": ""every_week_day"", ""number"": ""$1""}",$U-MONTHS$U-OF$U-WORKDAYS$EV ,-,-,毎月の就業日,-,
recurring,"{""type"": ""every_last_work_day"", ""month"": """"}",$U-MONTHS$U-OF$U-LAST$U-OF$U-WORKDAYS,-,-,毎月の最終営業日,毎月最後の平日,
recurring,"{""type"": ""every_last_work_day"", ""month"": ""$1""}",$U-YEARS$U-OF($MONTH)$U-OF$U-LAST$U-OF$U-WORKDAYS,-,-,毎年5月の最終営業日,毎年の5月の最後の平日,
,,,,,,,
recurring,"{""type"": ""every_week"", ""number"": ""$1""}",($N)?$U-WEEKS,-,-,3週ごと,毎週,
,,,,,,,
recurring,"{""type"": ""every_day_month"", ""number1"": ""$1"", ""number2"": ""$2""}",$U-YEARS($N)$SEP($N),-,-,毎年5/5,-,
,,,,,,,
,,,,,,,
recurring,"{""type"": ""every_other_day""}",隔日|1日おき,-,-,隔日,-,
,,,,,,,
recurring,"{""type"": ""every_next_weekday"", ""weekday"": ""$1""}",隔週金?($WEEKDAY),-,-,隔週月曜日,隔週金曜日,2週間毎金曜日
recurring,"{""type"": ""every_spec_day"", ""number"": ""$1""}",$U-MONTHS$U-OF?($N),-,-,毎月5日,毎月の5日,
recurring,"{""type"": ""every_spec_day"", ""number"": ""$1""}",毎($RN日?)$,-,-,毎5日,,
,,,,,,,
recurring,"{""type"": ""every_spec_weekday_month"", ""number"": ""$2"", ""weekday"": ""$3"", ""month"": ""$1""}",$U-YEARS$U-OF($MONTH)$U-OF$RS($N)($WEEKDAY),-,-,毎年5月の第3月曜日,-,
,"{""type"": ""every_spec_weekday_month"", ""number"": ""$2"", ""weekday"": ""$1"", ""month"": ""$3""}",$EV ($WEEKDAY)_($N)_$RS?_$U-OF_($MONTH),-,-,毎年5月第3月曜,-,
recurring,"{""type"": ""every_reg_weekday"", ""weekday"": ""$1""}",$EV ($WEEKDAY) ($TIME),-,-,毎週月曜日午後12時,-,
recurring,"{""type"": ""every_reg_weekday"", ""weekday"": ""$1""}",$EV ($WEEKDAY)$,-,-,毎火,-,
recurring,"{""type"": ""every_spec_weekday"", ""number"": ""$1"", ""weekday"": ""$2""}",$U-MONTHS$U-OF$RS($N)($WEEKDAY),-,-,毎月第三月曜日,,
recurring,"{""type"": ""every_spec_weekday"", ""number"": ""$1"", ""weekday"": ""$2""}",毎$RS($RN)($WEEKDAY),-,-,毎第2火曜日,,
,,,,,,,
recurring,"{""type"": ""every_spec_weekday_month"", ""number"": ""5"", ""weekday"": ""$2"", ""month"": ""$1""}",$U-YEARS($MONTH)$U-OF$U-LAST($WEEKDAY),-,-,毎年5月の最終月曜日,-,
recurring,"{""type"": ""every_spec_weekday"", ""number"": ""$1"", ""weekday"": ""$2""}",$U-MONTHS$U-OF?$RS($N)($WEEKDAY),-,-,毎月第3水曜日,毎月の第3水曜日,
,,($WEEKDAY)($N)$U-WEEKS,,,水曜日3週間毎,,
recurring,"{""type"": ""every_spec_weekday"", ""number"": ""5"", ""weekday"": ""$1""}",$U-MONTHS$U-OF$U-LAST($WEEKDAY),-,-,毎月最終月曜日,,
recurring,"{""type"": ""every_reg_weekday"", ""weekday"": ""$1""}",$U-WEEKS$U-OF($WEEKDAY),-,-,毎週月曜,毎週火曜日,
,,,,,,,
recurring,"{""type"": ""every_hour"", ""number"": ""$1""}",($N)$U-HOURS,-,-,3時間毎,-,
,,,,,,,
recurring,"{""type"": ""every_day"", ""number"": ""$1""}",($N?)$U-DAYS,-,-,3日毎,-,
recurring,"{""type"": ""every_spec_day"", ""number"": ""$1""}",$U-MONTHS$U-OF($N),-,-,毎月3日,-,
,"{""type"": ""ending"", ""date"": ""$1"", ""end_date"": ""$2""}","(.+)間(.+)
",-,-,6ヶ月間毎日,-,
,,,,,,,
,,,,,,,
recurring,"{""type"": ""comma"", ""patterns"": ""$1"", ""time"": ""$2""}","([^,]+,.+)_($TIME)?",-,-,"月,火",,
,,,,,,,
date,"{""type"": ""today""}",今日,-,-,今日,-,
date,"{""type"": ""tomorrow""}",明日|翌日,-,-,明日,-,
date,"{""type"": ""yesterday""}",昨日|前日,-,-,昨日,-,
date,"{""type"": ""next_week""}",来週頭,来週$,-,来週頭,-,
date,"{""type"": ""next_weekday"", ""weekday"": ""$1""}",来週($WEEKDAY),次の($WEEKDAY),-,来週金曜日,-,
,,,,,,,
date,"{""type"": ""last_day"", ""month"": ""$1""}",($MONTH)?$U-LAST,-,-,5月末日,-,
,"{""type"": ""last_day"", ""month"": ""$1""}",$U-LAST $U-DAYS_$U-OF_($MONTH)?,-,-,5月末日,-,
date,"{""type"": ""last_work_day"", ""month"": ""$1""}",($MONTH)?$U-OF$U-LAST$U-WORKDAYS,-,-,5月最後の平日,-,
date,"{""type"": ""other_work_day""}",$U-OTHER $U-WORKDAYS,-,-,,-,
date,"{""type"": ""work_day""}",$U-WORKDAYS,-,-,平日,-,
,,,,,,,
,,,,,,,
date,"{""type"": ""spec_weekday_month"", ""number"": ""$2"", ""weekday"": ""$2"", ""month"": ""$1""}",($MONTH)$U-OF$RS($N)($WEEKDAY),-,-,5月の第三月曜日,-,
,,($MONTH)$U-OF$RS($N)($WEEKDAY),-,-,5月の第三月曜日,-,
date,"{""type"": ""spec_weekday_month"", ""number"": ""5"", ""weekday"": ""$2"", ""month"": ""$1""}",($MONTH)$U-OF$U-LAST($WEEKDAY),-,-,5月の最後の月曜日,-,
date,"{""type"": ""regular_weekday"", ""weekday"": ""$1""}",($WEEKDAY)$U-OF<$TIME>,-,-,月曜日午後3時,-,
,,<$TIME> ($WEEKDAY),-,-,月曜日午後3時,-,
date,"{""type"": ""spec_weekday"", ""number"": ""$1"", ""weekday"": ""$2""}",$RS($N)($WEEKDAY),-,-,第3月曜日,-,
,,$RS($N)($WEEKDAY),-,-,第3月曜日,-,
date,"{""type"": ""spec_weekday"", ""number"": ""5"", ""weekday"": ""$1""}",$U-LAST($WEEKDAY),-,-,最後の月曜日,-,
,,,,,,,
date,"{""type"": ""date_x_forced"", ""year"": ""$1"", ""number1"": ""$2"", ""number2"": ""$3""}",($YEAR)年?$SEP($RN)月?$SEP($RN)日?,-,-,"""2014/5/5""",-,
date,"{""type"": ""date"", ""year"": ""$1"", ""number"": ""$2"", ""month"": ""$3""}",($YEAR)年_($N) 日 ($MONTH),-,-,2014年3日5月,-,
date,"{""type"": ""date"", ""year"": ""$1"", ""number"": ""$3"", ""month"": ""$2""}",($YEAR)年_($MONTH) ($N)日,-,-,2014年5月3日,-,
date,"{""type"": ""date"", ""year"": ""$3"", ""number"": ""$1"", ""month"": ""$2""}",($N)日_($MONTH) ($YEAR)年?,-,-,3日5月2014,-,
date,"{""type"": ""date"", ""year"": """", ""number"": ""$1"", ""month"": ""$2""}",($N)日($MONTH),-,-,3日5月,-,
date,"{""type"": ""date"", ""year"": ""$3"", ""number"": ""$2"", ""month"": ""$1""}",($MONTH)_($N)日?($YEAR)年?,-,-,5月3日2014,-,
date,"{""type"": ""date"", ""year"": """", ""number"": ""$2"", ""month"": ""$1""}",($MONTH)_($N)日?,-,-,5月3日,-,
,,,,,,,
date,"{""type"": ""date_x"", ""year"": ""$3"", ""number1"": ""$1"", ""number2"": ""$2""}",($RN)[-]+($RN)<[-]+($YEAR)>,-,-,"""5-5-2014""",-,
date,"{""type"": ""date_x"", ""year"": ""$3"", ""number1"": ""$1"", ""number2"": ""$2""}",($RN)[/.\s]+($RN)<[/.\s]+($YEAR)?>?,-,-,"""5/5/2014""",-,
date,"{""type"": ""date_month"", ""month"": ""$1""}",($MONTH),-,-,1月,-,
date,"{""type"": ""date"", ""year"": ""$1"", ""number"": ""1"", ""month"": ""$2""}",($YEAR)年($MONTH),-,-,2014年5月,-,
,,$U-OF ($MONTH),-,-,1月,-,
,,,,,,,
,"{""type"": ""no_date""}",日付なし|締め切りなし|未定,-,-,日付なし,締め切りなし,
date,"{""type"": ""plus"", ""number"": ""$1"", ""unit"": ""$2""}",\+?($N)($UNIT)<$R-OF|後>,-,-,2ヶ月以内,2ヵ月後,
date,"{""type"": ""minus"", ""number"": ""$1"", ""unit"": ""$2""}",(\-$N)($UNIT),-,-,-2日,-,
date,"{""type"": ""minus"", ""number"": ""-$1"", ""unit"": ""$2""}",($N)($UNIT)前,-,-,2日前,-,
date,"{""type"": ""regular_weekday"", ""weekday"": ""$1""}",($SWEEKDAY),-,-,月曜日,-,
date,"{""type"": ""spec_day"", ""number"": ""$1""}",($RN)日,-,-,3日,-,
date,"{""type"": ""plus"", ""number"": ""$1"", ""unit"": ""$2""}",\+?($N)($UNIT)間,-,-,5日間,-,
date,"{""type"": ""time""}",<$TIME>$,-,-,14:00,-,
